"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"78","QE1d","bid_ask_v2_t+1_change","short",-3.63952584794073e-05,0.000180333013071078,7.3934114926894e-05,0.000247581870276678,-0.000382650003531017
"79","QE1d","bid_ask_v3_COB_change","long",1.86037303575209e-06,1.07698862648874e-06,1.54733889482224e-06,3.53225470080785e-06,4.74259060464577e-07
"80","QE1d","bid_ask_v3_COB_change","medium",3.57164471866485e-06,5.33279821187964e-07,7.08772944995857e-07,4.41249604414779e-06,2.61816996324239e-06
"81","QE1d","bid_ask_v3_COB_change","short",1.16112122873729e-06,7.99840656553439e-07,1.26018300944141e-06,2.6023950151639e-06,2.45539456164914e-07
"82","QE1d","bid_ask_v3_t+1_change","long",3.25617441256707e-06,1.78362857262291e-06,2.32609712196206e-06,5.74615271909274e-06,5.888532742781e-07
"83","QE1d","bid_ask_v3_t+1_change","medium",5.49796638410832e-06,8.20787425389391e-07,1.13782201061508e-06,6.84660893744465e-06,4.08317038551678e-06
"84","QE1d","bid_ask_v3_t+1_change","short",1.57001683914533e-06,1.31767341080804e-06,1.78732247964298e-06,3.85777118050911e-06,-6.57257862621383e-08
"85","QE2a","bid_ask_v1_COB_change","long",0.00088888888888884,0.000781735959970564,0.00099999999999989,0.00200000000000022,0
"86","QE2a","bid_ask_v1_COB_change","medium",0.00112499999999999,0.000834522960396321,0.00124999999999986,0.00200000000000022,-4.44089209850063e-16
"87","QE2a","bid_ask_v1_COB_change","short",0.000714285714285675,0.000994490316197691,0.00100000000000011,0.00299999999999989,-0.00100000000000011
"88","QE2a","bid_ask_v1_COB_change","untargeted_short",0.00225000000000003,0.000957427107756329,0.00124999999999992,0.003,0.001
"89","QE2a","bid_ask_v1_t+1_change","long",-0.000222222222222296,0.00066666666666664,0.00099999999999989,0.00099999999999989,-0.00100000000000033
"90","QE2a","bid_ask_v1_t+1_change","medium",-0.000124999999999986,0.000640869944461684,0.000250000000000083,0.00099999999999989,-0.00100000000000033
"91","QE2a","bid_ask_v1_t+1_change","short",0.000214285714285722,0.00232638945838565,0.00100000000000006,0.00800000000000001,-0.00100000000000011
"92","QE2a","bid_ask_v1_t+1_change","untargeted_short",0.00100000000000003,0.00141421356237307,0.00149999999999992,0.003,0
"93","QE2a","bid_ask_v2_COB_change","long",0.000276224038982437,0.000231088640200066,0.000292476379361168,0.000605749802036907,6.19726401729988e-06
"94","QE2a","bid_ask_v2_COB_change","medium",0.000356310383832164,0.000271164827212991,0.000385271914954985,0.000671456529166309,-1.71180438045485e-05
"95","QE2a","bid_ask_v2_COB_change","short",0.000382732201006744,0.000835632528646075,0.000632682685850695,0.00282523241801388,-0.000946051497522189
"96","QE2a","bid_ask_v2_COB_change","untargeted_short",0.0019739335681618,0.00122048849042816,0.00159963809660573,0.00304920820795314,0.000421907474841287
"97","QE2a","bid_ask_v2_t+1_change","long",-6.16138620712802e-05,0.000199442614577266,0.000296594573727664,0.000302673231552406,-0.000304321148732962
"98","QE2a","bid_ask_v2_t+1_change","medium",-7.93612240350059e-05,0.000243650139938458,0.000104074497299184,0.000296273272250652,-0.000466320125168508
"99","QE2a","bid_ask_v2_t+1_change","short",-6.92788058352306e-05,0.00147061165200944,0.000685440903917788,0.00480546326028034,-0.00118614208305122
"100","QE2a","bid_ask_v2_t+1_change","untargeted_short",-0.000130291267839534,0.00221932178794058,0.00249023984397517,0.00286000246021717,-0.00211853720050442
"101","QE2a","bid_ask_v3_COB_change","long",0.000184499012971952,8.95592150884109e-05,5.0363032696548e-05,0.000363832390306019,3.48568532992515e-05
"102","QE2a","bid_ask_v3_COB_change","medium",0.000112982291700985,5.3079902204967e-05,3.78865784486284e-05,0.000165836016646535,7.17346896361747e-07
"103","QE2a","bid_ask_v3_COB_change","short",5.21662871366481e-05,3.86311049553913e-05,4.26524668528028e-05,0.000134592604500533,8.92015001698943e-08
"104","QE2a","bid_ask_v3_COB_change","untargeted_short",3.44224842079802e-05,2.29610582421753e-05,1.28215832234624e-05,4.85929118780194e-05,1.07793862777955e-07
"105","QE2a","bid_ask_v3_t+1_change","long",2.27867645490241e-06,6.39120301077118e-05,4.32748674044072e-05,0.000121288638690237,-8.92848276722062e-05
"106","QE2a","bid_ask_v3_t+1_change","medium",-8.53349855123661e-06,5.00031312072004e-05,1.26783605004332e-06,4.3472662155413e-05,-0.000127088189469282
"107","QE2a","bid_ask_v3_t+1_change","short",2.40030851667483e-05,0.000100280348370569,3.25092165370695e-06,0.000358793155633989,-4.84302737004875e-05
"108","QE2a","bid_ask_v3_t+1_change","untargeted_short",1.15867145409241e-05,2.23571010945562e-05,1.13072511256463e-05,4.5121437219366e-05,1.79724592909409e-07
"109","QE2b","bid_ask_v1_COB_change","long",0.00144444444444433,0.00052704627669473,0.00099999999999989,0.00200000000000022,0.00099999999999989
"110","QE2b","bid_ask_v1_COB_change","medium",0.00124999999999997,0.000707106781186514,0.00099999999999989,0.00200000000000022,0
