operation_date,ISIN,proceeds_offers,proceeds_purchases,nominal_purchases,tail,res_mat,maturity,cuml_nom_purch,issue_date,cumulative_total_in_issue,percent_of_freefloat,bid_cover,YLD_YTM_MID,YLD_BID_ASK,date_dif,1DCHNG_YIELD_BID_ASK,1DCHNG_date_dif,1DCHNG_EOD_YIELD_BID_ASK,1DCHNG_EOD_date_dif,prog
2011-10-10,GB00B582JV65,1937.5,534.8,480,0.07,8.91170431211499,2020-09-07,480,2011-02-18,23167.138,0.020719002925609544,3.62284966342558,2.444,0.0040000000000000036,0,0,4,0,3,QE2
2011-10-11,GB00B00NY175,237,50.5,40.6,0.11,27.156741957563312,2038-12-07,6140.9,2010-09-02,23759,0.25846626541521106,4.693069306930693,3.451,0.0040000000000000036,0,0,2,0,1,QE2
2011-10-11,GB00B1VWPJ53,84.6,30.2,25,0,31.156741957563312,2042-12-07,1541,2009-01-21,19120,0.08059623430962343,2.801324503311258,3.488,0.0030000000000001137,0,-4.440892098500626e-16,2,-0.002000000000000224,1,QE2
2011-10-11,GB00B128DP45,276.9,93.3,80,0.06,35.15674195756331,2046-12-07,2262.6,2010-07-15,20166.741,0.11219462777847941,2.967845659163987,3.504,0.0029999999999996696,0,0.0019999999999997797,2,-0.001000000000000334,1,QE2
2011-10-11,GB00B39R3707,120.6,58.4,50,0,38.157426420260094,2049-12-07,2319,2010-12-08,18633.077,0.12445609493268342,2.065068493150685,3.521,0.0030000000000001137,0,0.001000000000000334,2,-9.999999999998899e-4,1,QE2
2011-10-11,GB00B06YGN05,147.1,22.3,19,0.04,44.15605749486653,2055-12-07,4924.6,2011-03-04,22621.9,0.2176917058248865,6.596412556053811,3.542,0.0030000000000001137,0,0.002000000000000224,2,-9.999999999998899e-4,1,QE2
2011-10-11,GB00B54QLM75,731.8,528,475,0.34,48.28199863107461,2060-01-22,2024.1,2011-06-29,16500,0.12267272727272727,1.3859848484848485,3.558,0.0030000000000001137,0,0.0019999999999997797,2,-9.999999999998899e-4,1,QE2
2011-10-11,GB00B6460505,1293.3,626.8,545,0.12,29.15811088295688,2040-12-07,545,2011-07-15,21532.7,0.025310341945041726,2.063337587747288,3.507,0.0030000000000001137,0,0.001000000000000334,2,-9.999999999998899e-4,1,QE2
2011-10-11,GB00B6RNH572,461.8,290.4,277,0.1,40.780287474332646,2052-07-22,277,2011-09-28,4500,0.06155555555555556,1.5902203856749313,3.538,0.0040000000000000036,0,0.002000000000000224,2,0,1,QE2
2011-10-12,GB00B16NNR78,890.9,453.3,390.1,0.05,16.1533196440794,2027-12-07,10014.9,2011-06-16,27575.157,0.3631856021708235,1.9653651003750274,3.105,0.006000000000000227,0,0,2,0.001000000000000334,1,QE2
