date,ticker_abrv,ois_yield,ois_tenor
2021-12-16,BPSWS1_OIS,0.669,1
2021-12-16,BPSWS1F_OIS,0.8032,1.5
2021-12-16,BPSWS2_OIS,0.8857,2
2021-12-16,BPSWS3_OIS,0.932,3
2021-12-16,BPSWS4_OIS,0.902,4
2021-12-16,BPSWS5_OIS,0.8595,5
2021-12-16,BPSWS6_OIS,0.823,6
2021-12-16,BPSWS7_OIS,0.7905,7
2021-12-16,BPSWS8_OIS,0.768,8
2021-12-16,BPSWS9_OIS,0.75,9
2021-12-16,BPSWS10_OIS,0.7436,10
2021-12-16,BPSWS12_OIS,0.721,12
2021-12-16,BPSWS15_OIS,0.694,15
2021-12-16,BPSWS20_OIS,0.656,20
2021-12-16,BPSWS25_OIS,0.6223,25
2021-12-16,BPSWS30_OIS,0.5907,30
2021-12-16,BPSWS40_OIS,0.5098,40
2021-12-16,BPSWS50_OIS,0.42335,50
2021-12-17,BPSWS1Z_OIS,0.1945,0.019178082191780823
2021-12-17,BPSWS2Z_OIS,0.1955,0.038356164383561646
2021-12-17,BPSWSA_OIS,0.195,0.08333333333333333
2021-12-17,BPSWSB_OIS,0.2385,0.16666666666666666
2021-12-17,BPSWSC_OIS,0.283,0.25
2021-12-17,BPSWSD_OIS,0.3394,0.3333333333333333
2021-12-17,BPSWSE_OIS,0.3843,0.4166666666666667
2021-12-17,BPSWSF_OIS,0.44025,0.5
2021-12-17,BPSWSG_OIS,0.489,0.5833333333333334
2021-12-17,BPSWSH_OIS,0.533,0.6666666666666666
2021-12-17,BPSWSI_OIS,0.582,0.75
2021-12-17,BPSWSJ_OIS,0.61765,0.8333333333333334
2021-12-17,BPSWSK_OIS,0.6538,0.9166666666666666
2021-12-17,BPSWS1_OIS,0.688,1
2021-12-17,BPSWS1F_OIS,0.8187,1.5
2021-12-17,BPSWS2_OIS,0.891,2
2021-12-17,BPSWS3_OIS,0.933,3
2021-12-17,BPSWS4_OIS,0.906,4
2021-12-17,BPSWS5_OIS,0.864,5
2021-12-17,BPSWS6_OIS,0.827,6
2021-12-17,BPSWS7_OIS,0.796,7
2021-12-17,BPSWS8_OIS,0.776,8
2021-12-17,BPSWS9_OIS,0.759,9
2021-12-17,BPSWS10_OIS,0.75,10
2021-12-17,BPSWS12_OIS,0.7331,12
2021-12-17,BPSWS15_OIS,0.7125,15
2021-12-17,BPSWS20_OIS,0.681,20
2021-12-17,BPSWS25_OIS,0.652,25
2021-12-17,BPSWS30_OIS,0.626,30
2021-12-17,BPSWS40_OIS,0.54095,40
2021-12-17,BPSWS50_OIS,0.45715,50
2021-12-20,BPSWS1Z_OIS,0.1955,0.019178082191780823
2021-12-20,BPSWS2Z_OIS,0.1935,0.038356164383561646
2021-12-20,BPSWSA_OIS,0.1958,0.08333333333333333
2021-12-20,BPSWSB_OIS,0.2505,0.16666666666666666
2021-12-20,BPSWSC_OIS,0.297,0.25
2021-12-20,BPSWSD_OIS,0.3471,0.3333333333333333
2021-12-20,BPSWSE_OIS,0.3967,0.4166666666666667
2021-12-20,BPSWSF_OIS,0.4497,0.5
2021-12-20,BPSWSG_OIS,0.4968,0.5833333333333334
2021-12-20,BPSWSH_OIS,0.547,0.6666666666666666
2021-12-20,BPSWSI_OIS,0.59,0.75
2021-12-20,BPSWSJ_OIS,0.62818,0.8333333333333334
2021-12-20,BPSWSK_OIS,0.666,0.9166666666666666
2021-12-20,BPSWS1_OIS,0.6979,1
2021-12-20,BPSWS1F_OIS,0.8298,1.5
2021-12-20,BPSWS2_OIS,0.907,2
2021-12-20,BPSWS3_OIS,0.9499,3
2021-12-20,BPSWS4_OIS,0.9317,4
2021-12-20,BPSWS5_OIS,0.891,5
2021-12-20,BPSWS6_OIS,0.857,6
2021-12-20,BPSWS7_OIS,0.8298,7
2021-12-20,BPSWS8_OIS,0.8105,8
2021-12-20,BPSWS9_OIS,0.79,9
2021-12-20,BPSWS10_OIS,0.781,10
2021-12-20,BPSWS12_OIS,0.767,12
2021-12-20,BPSWS15_OIS,0.745,15
2021-12-20,BPSWS20_OIS,0.717,20
2021-12-20,BPSWS25_OIS,0.6908,25
2021-12-20,BPSWS30_OIS,0.663,30
2021-12-20,BPSWS40_OIS,0.5751,40
2021-12-20,BPSWS50_OIS,0.4923,50
2021-12-21,BPSWS1Z_OIS,0.1949,0.019178082191780823
2021-12-21,BPSWS2Z_OIS,0.1925,0.038356164383561646
2021-12-21,BPSWSA_OIS,0.194,0.08333333333333333
2021-12-21,BPSWSB_OIS,0.2555,0.16666666666666666
2021-12-21,BPSWSC_OIS,0.3067,0.25
2021-12-21,BPSWSD_OIS,0.36075,0.3333333333333333
2021-12-21,BPSWSE_OIS,0.4192,0.4166666666666667
2021-12-21,BPSWSF_OIS,0.474,0.5
2021-12-21,BPSWSG_OIS,0.5231,0.5833333333333334
2021-12-21,BPSWSH_OIS,0.5761,0.6666666666666666
2021-12-21,BPSWSI_OIS,0.6241,0.75
2021-12-21,BPSWSJ_OIS,0.666,0.8333333333333334
2021-12-21,BPSWSK_OIS,0.706,0.9166666666666666
2021-12-21,BPSWS1_OIS,0.741,1
